agricultural;	agricole
to_till_the_land;	cultiver_la_terre
a wine grower; un viticulteur
200 head of cattle; 200 têtes de bétail
soil;	sol
to_yield;	produire_rendre
returns;	rendement
barren;	sterile
fertile;	fertile
to_reclaim;	amender_defricher
scanty;	maigre_rare
waste_land;	terre_en_friche
to_lie_fallow;	etre_en_jachere
field;	champ
to_plough;	labourer
plough;	charrue
tractor;	tracteur
to_dig_a_furrow;	creuser_un_sillon
to_sow;	semer
to_scatter;	eparpiller
seeds;	graines
to_harrow_a_field;	herser_un_champ
clod;	motte_de_terre
blade;	brin_d_herbe
to_sprout;	percer
roller;	rouleau
corn;	cereales
wheat;	ble
oats;	avoine
barley;	orge
rye;	seigle
maize;	mais
ear;	epi
stalk;	tige
ripe;	mur
crop;	recolte
to_harvest;	moissonner
sickle;	faucille
scythe;	faux
whetstone;	pierre_a_aiguiser
blade;	lame
to_sharpen;aiguiser
harvester;	moissonneuse
to_bind, bound, bound;	lier
to_thresh;	battre
treshing_machine;	batteuse
straw;	paille
sack;sac
flail;	fleau
stubble;	chaume
to_grind, ground, ground;	moudre
meal;	farine
flour;	farine_de_ble
miller;meunier
millstone;	meule
windmill;	moulin_a_vent
sails;	ailes
water-mill;	moulin_a_eau
hay;	foin
grass;	herbe
fodder;	fourrage
lawn;	pelouse
haymaking;	fenaison
meadow;	prairie
to_mow;	tondre(faucher)
mowing-machine;	faucheuse
hayrick(haystack);	meule_de_foin
to_load;	charger
cart;	charrette
barn;	grange
bale_of_hay;	botte_de_foin
elevator;	elevateur
hops,;houblon
vineyard;	vignoble
grapes;	raisins
bunch_of_grapes;	grappe_de_raisins
to_press;	presser
to_squeeze_out;	exprimer
to_ferment;	fermenter
wine;	vin
tank;	cuve
cask;	barrique
barrel;	tonneau
to_bloom;	fleurir
petal;	petale
daisy;	paquerette
buttercup;	bouton_d_or
poppy;	coquelicot
blackberry;	ronce
nettle;ortie
thistle;	chardon
to_fade;	faner
field_mouse;	mulot
hedgehog;	herisson
mole;	taupe
molehill;	taupiniere
weasel;	belette
lizard;	lezard
snake;	serpent
to_creep(crawl);	ramper
bite;morsure
poisonous;	venimeux
to_hiss;	siffler
grass_snake;	couleuvre
viper;	vipere
crows_(famille_des);	les_corbeaux
raven_(corbeau);	un_corbeau
rook;	freux
magpie;	pie
scarecrow;	epouventail
hawk;	faucon
lark;	alouette
swallow;	hirondelle
cricket;	grillon
grasshoper;	sauterelle
